step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
0,12,12,2,160.6451,0.0,0.0,0,1210.5193,0,0.0,0.0,0,0,2535.0387,3490.5193,1324.5193,290.8766,0.028467
1,2,14,2,225.7572,0.0,0.0,0,201.9619,12,0.0,0.0,0,0,422.9238,581.9619,220.9619,290.981,0.028913
2,0,14,0,33.7448,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
3,0,14,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
4,1,15,1,13.0683,0.0,0.0,0,100.7188,0,0.0,0.0,0,0,210.9376,290.7188,110.2188,290.7188,0.027802
5,2,17,2,44.3117,0.0,0.0,0,202.4426,1,0.0,0.0,0,0,423.8851,582.4426,221.4426,291.2213,0.029934
6,3,20,3,74.9605,0.0,0.0,0,302.5172,2,0.0,0.0,0,0,633.5344,872.5172,331.0172,290.8391,0.028305
7,1,21,1,63.0015,0.0,0.0,0,100.9608,3,0.0,0.0,0,0,211.4216,290.9608,110.4608,290.9608,0.02883
8,0,21,0,16.7791,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
9,2,23,2,26.0731,0.0,0.0,0,201.4062,0,0.0,0.0,0,0,421.8123,581.4062,220.4062,290.7031,0.027734
10,2,25,2,60.286,0.0,0.0,0,202.309,2,0.0,0.0,0,0,423.618,582.309,221.309,291.1545,0.029641
11,0,25,0,34.7585,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
12,2,27,2,24.1407,0.0,0.0,0,200.4496,0,0.0,0.0,0,0,419.8993,580.4496,219.4496,290.2248,0.0257
13,1,28,1,43.4261,0.0,0.0,0,101.0747,2,0.0,0.0,0,0,211.6494,291.0747,110.5747,291.0747,0.029314
14,2,30,2,43.5458,0.0,0.0,0,201.5779,1,0.0,0.0,0,0,422.1559,581.5779,220.5779,290.789,0.028097
15,1,31,1,45.3209,0.0,0.0,0,100.5932,2,0.0,0.0,0,0,210.6864,290.5932,110.0932,290.5932,0.027268
16,1,32,1,27.3419,0.0,0.0,0,99.8666,1,0.0,0.0,0,0,209.2332,289.8666,109.3666,289.8666,0.024175
17,1,33,1,27.6598,0.0,0.0,0,101.0349,1,0.0,0.0,0,0,211.5697,291.0349,110.5349,291.0349,0.029145
18,0,33,0,16.9738,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
19,1,34,1,12.4887,0.0,0.0,0,100.4319,0,0.0,0.0,0,0,210.3638,290.4319,109.9319,290.4319,0.026582
20,1,35,1,29.3105,0.0,0.0,0,101.1804,1,0.0,0.0,0,0,211.8607,291.1804,110.6804,291.1804,0.029762
21,2,37,2,43.502,0.0,0.0,0,201.4428,1,0.0,0.0,0,0,421.8856,581.4428,220.4428,290.7214,0.027812
22,0,37,0,32.3691,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
23,0,37,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
24,1,38,1,16.0194,0.0,0.0,0,102.1796,0,0.0,0.0,0,0,213.8592,292.1796,111.6796,292.1796,0.033995
25,0,38,0,19.8274,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
26,0,38,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
27,1,39,1,11.7568,0.0,0.0,0,100.0696,0,0.0,0.0,0,0,209.6392,290.0696,109.5696,290.0696,0.02504
28,2,41,2,39.377,0.0,0.0,0,200.8376,1,0.0,0.0,0,0,420.6751,580.8376,219.8376,290.4188,0.026525
29,1,42,1,44.0126,0.0,0.0,0,100.8073,2,0.0,0.0,0,0,211.1147,290.8073,110.3073,290.8073,0.028178
30,1,43,1,28.3437,0.0,0.0,0,100.2276,1,0.0,0.0,0,0,209.9552,290.2276,109.7276,290.2276,0.025713
31,0,43,0,14.8719,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
32,2,45,2,30.5984,0.0,0.0,0,203.6462,0,0.0,0.0,0,0,426.2924,583.6462,222.6462,291.8231,0.032484
33,1,46,1,51.8936,0.0,0.0,0,101.0339,2,0.0,0.0,0,0,211.5678,291.0339,110.5339,291.0339,0.02914
34,1,47,1,30.041,0.0,0.0,0,100.7428,1,0.0,0.0,0,0,210.9856,290.7428,110.2428,290.7428,0.027904
35,1,48,1,32.5177,0.0,0.0,0,102.3212,1,0.0,0.0,0,0,214.1425,292.3212,111.8212,292.3212,0.034594
36,2,50,2,47.2858,0.0,0.0,0,201.8075,1,0.0,0.0,0,0,422.615,581.8075,220.8075,290.9037,0.028587
37,1,51,1,48.9646,0.0,0.0,0,102.0358,2,0.0,0.0,0,0,213.5715,292.0358,111.5358,292.0358,0.033387
38,0,51,0,19.5388,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
39,2,53,2,24.073,0.0,0.0,0,200.4161,0,0.0,0.0,0,0,419.8323,580.4161,219.4161,290.2081,0.025629
40,1,54,1,45.8671,0.0,0.0,0,102.2595,2,0.0,0.0,0,0,214.019,292.2595,111.7595,292.2595,0.034333
41,1,55,1,33.2065,0.0,0.0,0,100.7887,1,0.0,0.0,0,0,211.0774,290.7887,110.2887,290.7887,0.028099
42,1,56,1,29.8737,0.0,0.0,0,100.9593,1,0.0,0.0,0,0,211.4185,290.9593,110.4593,290.9593,0.028823
43,1,57,1,29.0451,0.0,0.0,0,100.2902,1,0.0,0.0,0,0,210.0805,290.2902,109.7902,290.2902,0.025979
44,1,58,1,27.1228,0.0,0.0,0,100.139,1,0.0,0.0,0,0,209.778,290.139,109.639,290.139,0.025335
45,3,61,3,54.5924,0.0,0.0,0,302.5264,1,0.0,0.0,0,0,633.5529,872.5264,331.0264,290.8421,0.028318
46,2,63,2,77.6635,0.0,0.0,0,202.4813,3,0.0,0.0,0,0,423.9626,582.4813,221.4813,291.2406,0.030018
47,1,64,1,46.0144,0.0,0.0,0,99.7182,2,0.0,0.0,0,0,208.9363,289.7182,109.2182,289.7182,0.023542
48,1,65,1,28.7304,0.0,0.0,0,101.7315,1,0.0,0.0,0,0,212.963,291.7315,111.2315,291.7315,0.032098
49,0,65,0,18.7165,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
50,3,68,3,41.9528,0.0,0.0,0,303.5166,0,0.0,0.0,0,0,635.5333,873.5166,332.0166,291.1722,0.029722
51,0,68,0,51.8874,0.0,0.0,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,0.0
52,0,68,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
53,0,68,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
54,2,70,2,30.6036,0.0,0.0,0,203.6488,0,0.0,0.0,0,0,426.2975,583.6488,222.6488,291.8244,0.032491
55,1,71,1,53.1525,0.0,0.0,0,101.7187,2,0.0,0.0,0,0,212.9375,291.7187,111.2187,291.7187,0.032045
56,2,73,2,50.0538,0.0,0.0,0,203.9463,1,0.0,0.0,0,0,426.8925,583.9463,222.9463,291.9731,0.033121
57,1,74,1,54.054,0.0,0.0,0,101.8792,2,0.0,0.0,0,0,213.2583,291.8792,111.3792,291.8792,0.032724
58,0,74,0,19.2769,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
59,0,74,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
60,0,74,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
61,2,76,2,31.0011,0.0,0.0,0,203.8455,0,0.0,0.0,0,0,426.691,583.8455,222.8455,291.9228,0.032907
62,1,77,1,54.7855,0.0,0.0,0,102.3355,2,0.0,0.0,0,0,214.1709,292.3355,111.8355,292.3355,0.034654
63,1,78,1,34.715,0.0,0.0,0,101.363,1,0.0,0.0,0,0,212.2259,291.363,110.863,291.363,0.030537
64,1,79,1,30.2861,0.0,0.0,0,100.4037,1,0.0,0.0,0,0,210.3074,290.4037,109.9037,290.4037,0.026462
65,2,81,2,41.6833,0.0,0.0,0,201.4382,1,0.0,0.0,0,0,421.8765,581.4382,220.4382,290.7191,0.027798
66,2,83,2,58.2887,0.0,0.0,0,201.3593,2,0.0,0.0,0,0,421.7187,581.3593,220.3593,290.6797,0.027635
67,3,86,3,69.3658,0.0,0.0,0,301.1212,2,0.0,0.0,0,0,630.7424,871.1212,329.6212,290.3737,0.026333
68,1,87,1,59.46,0.0,0.0,0,100.9999,3,0.0,0.0,0,0,211.4998,290.9999,110.4999,290.9999,0.028996
69,0,87,0,16.8904,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
70,1,88,1,12.8753,0.0,0.0,0,100.6233,0,0.0,0.0,0,0,210.7466,290.6233,110.1233,290.6233,0.027396
71,2,90,2,40.3797,0.0,0.0,0,200.6287,1,0.0,0.0,0,0,420.2573,580.6287,219.6287,290.3143,0.026082
72,1,91,1,42.38,0.0,0.0,0,100.2391,2,0.0,0.0,0,0,209.9783,290.2391,109.7391,290.2391,0.025762
73,1,92,1,30.0661,0.0,0.0,0,101.758,1,0.0,0.0,0,0,213.0161,291.758,111.258,291.758,0.032211
74,0,92,0,18.7981,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
75,1,93,1,16.3091,0.0,0.0,0,102.323,0,0.0,0.0,0,0,214.146,292.323,111.823,292.323,0.034601
76,2,95,2,49.3208,0.0,0.0,0,202.8641,1,0.0,0.0,0,0,424.7282,582.8641,221.8641,291.432,0.030829
77,1,96,1,51.662,0.0,0.0,0,101.9753,2,0.0,0.0,0,0,213.4506,291.9753,111.4753,291.9753,0.033131
78,2,98,2,46.2623,0.0,0.0,0,201.8647,1,0.0,0.0,0,0,422.7294,581.8647,220.8647,290.9323,0.028707
79,0,98,0,33.2884,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
80,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
81,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
82,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
83,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
84,1,99,1,12.3023,0.0,0.0,0,100.3397,0,0.0,0.0,0,0,210.1793,290.3397,109.8397,290.3397,0.02619
85,1,100,1,28.5199,0.0,0.0,0,100.8432,1,0.0,0.0,0,0,211.1865,290.8432,110.3432,290.8432,0.028331
86,2,102,2,46.5612,0.0,0.0,0,203.4047,1,0.0,0.0,0,0,425.8094,583.4047,222.4047,291.7024,0.031975
87,3,105,3,79.1372,0.0,0.0,0,303.4109,2,0.0,0.0,0,0,635.3218,873.4109,331.9109,291.137,0.029575
88,0,105,0,51.7372,0.0,0.0,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,0.0
89,1,106,1,14.4581,0.0,0.0,0,101.4068,0,0.0,0.0,0,0,212.3135,291.4068,110.9068,291.4068,0.030722
90,1,107,1,29.0001,0.0,0.0,0,99.7825,1,0.0,0.0,0,0,209.0649,289.7825,109.2825,289.7825,0.023816
91,0,107,0,13.8536,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
92,1,108,1,12.8293,0.0,0.0,0,100.6005,0,0.0,0.0,0,0,210.701,290.6005,110.1005,290.6005,0.027299
93,1,109,1,31.5471,0.0,0.0,0,101.979,1,0.0,0.0,0,0,213.458,291.979,111.479,291.979,0.033146
94,2,111,2,48.6054,0.0,0.0,0,202.9702,1,0.0,0.0,0,0,424.9403,582.9702,221.9702,291.4851,0.031054
95,0,111,0,36.2739,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
96,0,111,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
97,0,111,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
98,2,113,2,26.8362,0.0,0.0,0,201.7839,0,0.0,0.0,0,0,422.5678,581.7839,220.7839,290.892,0.028534
99,2,115,2,59.1211,0.0,0.0,0,201.3357,2,0.0,0.0,0,0,421.6714,581.3357,220.3357,290.6678,0.02758
100,0,115,0,31.9305,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
101,2,117,2,29.6241,0.0,0.0,0,203.1639,0,0.0,0.0,0,0,425.3278,583.1639,222.1639,291.582,0.031465
102,0,117,0,36.9449,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
103,1,118,1,13.8169,0.0,0.0,0,101.0894,0,0.0,0.0,0,0,211.6787,291.0894,110.5894,291.0894,0.029376
104,2,120,2,49.008,0.0,0.0,0,204.3009,1,0.0,0.0,0,0,427.6019,584.3009,223.3009,292.1505,0.033871
105,1,121,1,54.9775,0.0,0.0,0,101.9143,2,0.0,0.0,0,0,213.3285,291.9143,111.4143,291.9143,0.032872
106,1,122,1,34.8132,0.0,0.0,0,102.033,1,0.0,0.0,0,0,213.566,292.033,111.533,292.033,0.033375
107,0,122,0,19.5039,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
108,1,123,1,13.5895,0.0,0.0,0,100.9768,0,0.0,0.0,0,0,211.4536,290.9768,110.4768,290.9768,0.028898
109,1,124,1,28.9993,0.0,0.0,0,100.2874,1,0.0,0.0,0,0,210.0748,290.2874,109.7874,290.2874,0.025967
110,0,124,0,15.0884,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
111,2,126,2,22.5825,0.0,0.0,0,199.6783,0,0.0,0.0,0,0,418.3567,579.6783,218.6783,289.8392,0.024058
112,2,128,2,55.434,0.0,0.0,0,202.1859,2,0.0,0.0,0,0,423.3717,582.1859,221.1859,291.0929,0.029387
113,1,129,1,47.6511,0.0,0.0,0,100.8698,2,0.0,0.0,0,0,211.2396,290.8698,110.3698,290.8698,0.028443
114,0,129,0,16.4842,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
115,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
116,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
117,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
118,0,129,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
119,2,131,2,27.2426,0.0,0.0,0,201.9851,0,0.0,0.0,0,0,422.9702,581.9851,220.9851,290.9926,0.028961
120,0,131,0,33.7467,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
121,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
122,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
123,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
124,0,131,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
125,1,132,1,16.3991,0.0,0.0,0,102.3676,0,0.0,0.0,0,0,214.2351,292.3676,111.8676,292.3676,0.03479
126,1,133,1,36.1455,0.0,0.0,0,102.0787,1,0.0,0.0,0,0,213.6574,292.0787,111.5787,292.0787,0.033568
127,1,134,1,31.7424,0.0,0.0,0,100.2117,1,0.0,0.0,0,0,209.9233,290.2117,109.7117,290.2117,0.025645
128,3,137,3,51.7042,0.0,0.0,0,301.0101,1,0.0,0.0,0,0,630.5202,871.0101,329.5101,290.3367,0.026174
129,1,138,1,59.5595,0.0,0.0,0,101.1347,3,0.0,0.0,0,0,211.7694,291.1347,110.6347,291.1347,0.029568
130,3,141,3,58.8321,0.0,0.0,0,303.4074,1,0.0,0.0,0,0,635.3147,873.4074,331.9074,291.1358,0.02957
131,0,141,0,51.6029,0.0,0.0,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,0.0
132,1,142,1,12.6331,0.0,0.0,0,100.5034,0,0.0,0.0,0,0,210.5068,290.5034,110.0034,290.5034,0.026886
133,2,144,2,45.8367,0.0,0.0,0,203.4432,1,0.0,0.0,0,0,425.8864,583.4432,222.4432,291.7216,0.032056
134,1,145,1,51.7044,0.0,0.0,0,101.476,2,0.0,0.0,0,0,212.4521,291.476,110.976,291.476,0.031016
135,0,145,0,18.097,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
136,0,145,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
137,2,147,2,26.5982,0.0,0.0,0,201.6661,0,0.0,0.0,0,0,422.3322,581.6661,220.6661,290.8331,0.028283
138,0,147,0,32.781,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
139,0,147,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
140,1,148,1,12.4077,0.0,0.0,0,100.3918,0,0.0,0.0,0,0,210.2836,290.3918,109.8918,290.3918,0.026411
141,5,153,5,84.2238,0.0,0.0,0,505.348,1,0.0,0.0,0,0,1058.1959,1455.348,552.848,291.0696,0.029289
142,1,154,1,101.6938,0.0,0.0,0,102.2881,5,0.0,0.0,0,0,214.0763,292.2881,111.7881,292.2881,0.034454
143,1,155,1,32.8322,0.0,0.0,0,100.5669,1,0.0,0.0,0,0,210.6338,290.5669,110.0669,290.5669,0.027156
144,2,157,2,41.9408,0.0,0.0,0,201.4098,1,0.0,0.0,0,0,421.8196,581.4098,220.4098,290.7049,0.027741
145,1,158,1,46.3052,0.0,0.0,0,101.2074,2,0.0,0.0,0,0,211.9149,291.2074,110.7074,291.2074,0.029877
146,1,159,1,28.9761,0.0,0.0,0,100.0399,1,0.0,0.0,0,0,209.5798,290.0399,109.5399,290.0399,0.024913
147,0,159,0,14.4103,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
148,1,160,1,11.5412,0.0,0.0,0,99.9629,0,0.0,0.0,0,0,209.4257,289.9629,109.4629,289.9629,0.024585
149,2,162,2,44.8179,0.0,0.0,0,203.6439,1,0.0,0.0,0,0,426.2877,583.6439,222.6439,291.8219,0.032481
150,1,163,1,52.1302,0.0,0.0,0,101.213,2,0.0,0.0,0,0,211.926,291.213,110.713,291.213,0.029901
151,2,165,2,49.068,0.0,0.0,0,204.1229,1,0.0,0.0,0,0,427.2457,584.1229,223.1229,292.0614,0.033495
152,0,165,0,39.1125,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
153,2,167,2,24.7767,0.0,0.0,0,200.7644,0,0.0,0.0,0,0,420.5289,580.7644,219.7644,290.3822,0.02637
154,0,167,0,30.4924,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
155,0,167,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
156,2,169,2,30.4366,0.0,0.0,0,203.5661,0,0.0,0.0,0,0,426.1322,583.5661,222.5661,291.783,0.032317
157,3,172,3,79.0846,0.0,0.0,0,303.2231,2,0.0,0.0,0,0,634.9462,873.2231,331.7231,291.0744,0.029306
158,1,173,1,65.6641,0.0,0.0,0,101.4955,3,0.0,0.0,0,0,212.4911,291.4955,110.9955,291.4955,0.031099
159,0,173,0,17.897,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
160,3,176,3,43.7528,0.0,0.0,0,304.4076,0,0.0,0.0,0,0,637.3153,874.4076,332.9076,291.4692,0.030984
161,4,180,4,107.8251,0.0,0.0,0,403.5037,3,0.0,0.0,0,0,845.0074,1163.5037,441.5037,290.8759,0.028462
162,2,182,2,92.3828,0.0,0.0,0,201.3238,4,0.0,0.0,0,0,421.6477,581.3238,220.3238,290.6619,0.027556
163,1,183,1,44.4902,0.0,0.0,0,100.4053,2,0.0,0.0,0,0,210.3107,290.4053,109.9053,290.4053,0.026469
164,1,184,1,28.892,0.0,0.0,0,100.9141,1,0.0,0.0,0,0,211.3281,290.9141,110.4141,290.9141,0.028632
165,2,186,2,41.0226,0.0,0.0,0,200.6433,1,0.0,0.0,0,0,420.2865,580.6433,219.6433,290.3216,0.026113
166,1,187,1,46.7748,0.0,0.0,0,102.4178,2,0.0,0.0,0,0,214.3356,292.4178,111.9178,292.4178,0.035002
167,0,187,0,20.6194,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
168,2,189,2,25.0637,0.0,0.0,0,200.9065,0,0.0,0.0,0,0,420.813,580.9065,219.9065,290.4533,0.02667
169,1,190,1,45.4809,0.0,0.0,0,101.446,2,0.0,0.0,0,0,212.3919,291.446,110.946,291.446,0.030889
170,2,192,2,49.8203,0.0,0.0,0,204.1706,1,0.0,0.0,0,0,427.3412,584.1706,223.1706,292.0853,0.033596
171,2,194,2,63.964,0.0,0.0,0,200.7018,2,0.0,0.0,0,0,420.4035,580.7018,219.7018,290.3509,0.026237
172,3,197,3,74.1659,0.0,0.0,0,304.5018,2,0.0,0.0,0,0,637.5035,874.5018,333.0018,291.5006,0.031117
173,4,201,4,112.9888,0.0,0.0,0,405.888,3,0.0,0.0,0,0,849.7761,1165.888,443.888,291.472,0.030999
174,3,204,3,112.9646,0.0,0.0,0,302.8943,4,0.0,0.0,0,0,634.2885,872.8943,331.3943,290.9648,0.02884
175,1,205,1,66.3639,0.0,0.0,0,102.13,3,0.0,0.0,0,0,213.7601,292.13,111.63,292.13,0.033785
176,2,207,2,48.0336,0.0,0.0,0,202.5751,1,0.0,0.0,0,0,424.1502,582.5751,221.5751,291.2876,0.030215
177,1,208,1,48.2352,0.0,0.0,0,100.7197,2,0.0,0.0,0,0,210.9395,290.7197,110.2197,290.7197,0.027806
178,2,210,2,47.3995,0.0,0.0,0,203.9571,1,0.0,0.0,0,0,426.9142,583.9571,222.9571,291.9786,0.033143
179,0,210,0,38.7031,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
180,2,212,2,25.7103,0.0,0.0,0,201.2266,0,0.0,0.0,0,0,421.4532,581.2266,220.2266,290.6133,0.027348
181,1,213,1,47.087,0.0,0.0,0,101.7968,2,0.0,0.0,0,0,213.0936,291.7968,111.2968,291.7968,0.032375
182,0,213,0,18.9344,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
183,0,213,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
184,1,214,1,15.7602,0.0,0.0,0,102.0513,0,0.0,0.0,0,0,213.6026,292.0513,111.5513,292.0513,0.033452
185,0,214,0,19.7332,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
186,0,214,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
187,0,214,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
188,1,215,1,11.1092,0.0,0.0,0,99.749,0,0.0,0.0,0,0,208.9981,289.749,109.249,289.749,0.023674
189,0,215,0,13.7234,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
190,0,215,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
191,2,217,2,27.5101,0.0,0.0,0,202.1175,0,0.0,0.0,0,0,423.235,582.1175,221.1175,291.0588,0.029246
192,0,217,0,33.9183,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
193,2,219,2,24.9153,0.0,0.0,0,200.8331,0,0.0,0.0,0,0,420.6662,580.8331,219.8331,290.4165,0.026515
194,2,221,2,53.5764,0.0,0.0,0,199.8167,2,0.0,0.0,0,0,418.6335,579.8167,218.8167,289.9084,0.024353
195,0,221,0,28.2436,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
196,2,223,2,29.2619,0.0,0.0,0,202.9846,0,0.0,0.0,0,0,424.9693,582.9846,221.9846,291.4923,0.031085
